X,Y
1.486874993,8.570672145
6.810661516,1.738466773
1.939256056,1.55389564
1.120090905,10.23708106
6.084725027,6.698358615
7.343322109,12.04074226
7.678453904,12.97366737
8.194957796,8.589765379
1.249655309,7.659761102
4.657073972,-0.735380928
0.416127948,12.61350858
0.316048134,7.88021635
9.52000268,10.41630088
2.45529076,4.694584166
9.523355928,11.38662486
8.87428361,12.63547244
3.564891509,6.434477164
2.983538814,0.927712533
4.043088043,-0.970950344
5.285770882,6.879370954
7.000636923,7.726709912
8.348045093,12.44314994
4.007981153,4.373887015
2.410547489,1.344792535
5.184405246,-0.069254945
-1.405734577,12.22709591
2.721049743,5.823517229
9.478291435,11.15363116
6.502776091,8.471071454
7.6471543,8.758029965
